STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,stk_flow,Stock or flow,nace_r2,Statistical classification of economic activities in the European Community (NACE Rev. 2),partner,Geopolitical entity (partner),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:EXT_TEC09(1.0),Trade by NACE Rev. 2 activity sector,A,Annual,THS_EUR,Thousand euro,EXP,Exports,A,"Agriculture, forestry and fishing",WORLD,All countries of the world,ES,Spain,2014,,2134427.97,,,,,
dataflow,ESTAT:EXT_TEC09(1.0),Trade by NACE Rev. 2 activity sector,A,Annual,THS_EUR,Thousand euro,EXP,Exports,A,"Agriculture, forestry and fishing",WORLD,All countries of the world,ES,Spain,2015,,2567808.45,,,,,
dataflow,ESTAT:EXT_TEC09(1.0),Trade by NACE Rev. 2 activity sector,A,Annual,THS_EUR,Thousand euro,EXP,Exports,A,"Agriculture, forestry and fishing",WORLD,All countries of the world,ES,Spain,2016,,2539156.3,,,,,
dataflow,ESTAT:EXT_TEC09(1.0),Trade by NACE Rev. 2 activity sector,A,Annual,THS_EUR,Thousand euro,EXP,Exports,A,"Agriculture, forestry and fishing",WORLD,All countries of the world,ES,Spain,2017,,2715527.09,,,,,
dataflow,ESTAT:EXT_TEC09(1.0),Trade by NACE Rev. 2 activity sector,A,Annual,THS_EUR,Thousand euro,EXP,Exports,A,"Agriculture, forestry and fishing",WORLD,All countries of the world,ES,Spain,2018,,2872571.97,,,,,
dataflow,ESTAT:EXT_TEC09(1.0),Trade by NACE Rev. 2 activity sector,A,Annual,THS_EUR,Thousand euro,EXP,Exports,A,"Agriculture, forestry and fishing",WORLD,All countries of the world,ES,Spain,2019,,2958977.02,,,,,
dataflow,ESTAT:EXT_TEC09(1.0),Trade by NACE Rev. 2 activity sector,A,Annual,THS_EUR,Thousand euro,EXP,Exports,A,"Agriculture, forestry and fishing",WORLD,All countries of the world,ES,Spain,2020,,2948615.52,,,,,
dataflow,ESTAT:EXT_TEC09(1.0),Trade by NACE Rev. 2 activity sector,A,Annual,THS_EUR,Thousand euro,EXP,Exports,A,"Agriculture, forestry and fishing",WORLD,All countries of the world,ES,Spain,2021,,3054626.7,,,,,
dataflow,ESTAT:EXT_TEC09(1.0),Trade by NACE Rev. 2 activity sector,A,Annual,THS_EUR,Thousand euro,EXP,Exports,A,"Agriculture, forestry and fishing",WORLD,All countries of the world,ES,Spain,2022,,3343325.36,,,,,
dataflow,ESTAT:EXT_TEC09(1.0),Trade by NACE Rev. 2 activity sector,A,Annual,THS_EUR,Thousand euro,EXP,Exports,A,"Agriculture, forestry and fishing",WORLD,All countries of the world,ES,Spain,2023,,3547226.18,,,,,
