STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,nace_r2,Statistical classification of economic activities in the European Community (NACE Rev. 2),asset10,Assets (ESA 2010),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:NAMA_10_NFA_ST(1.0),Capital stocks by industry (NACE Rev.2) and detailed asset type,A,Annual,CRC_MEUR,"Current replacement costs, million euro",A,"Agriculture, forestry and fishing",N11N,Total fixed assets (net),AT,Austria,2019,,36186.1,,,,,
dataflow,ESTAT:NAMA_10_NFA_ST(1.0),Capital stocks by industry (NACE Rev.2) and detailed asset type,A,Annual,CRC_MEUR,"Current replacement costs, million euro",A,"Agriculture, forestry and fishing",N11N,Total fixed assets (net),AT,Austria,2020,,37312.7,,,,,
dataflow,ESTAT:NAMA_10_NFA_ST(1.0),Capital stocks by industry (NACE Rev.2) and detailed asset type,A,Annual,CRC_MEUR,"Current replacement costs, million euro",A,"Agriculture, forestry and fishing",N11N,Total fixed assets (net),AT,Austria,2021,,40400.7,,,,,
dataflow,ESTAT:NAMA_10_NFA_ST(1.0),Capital stocks by industry (NACE Rev.2) and detailed asset type,A,Annual,CRC_MEUR,"Current replacement costs, million euro",A,"Agriculture, forestry and fishing",N11N,Total fixed assets (net),AT,Austria,2022,,43438.6,,,,,
dataflow,ESTAT:NAMA_10_NFA_ST(1.0),Capital stocks by industry (NACE Rev.2) and detailed asset type,A,Annual,CRC_MEUR,"Current replacement costs, million euro",A,"Agriculture, forestry and fishing",N11N,Total fixed assets (net),AT,Austria,2023,,45097.6,,,,,
dataflow,ESTAT:NAMA_10_NFA_ST(1.0),Capital stocks by industry (NACE Rev.2) and detailed asset type,A,Annual,CRC_MEUR,"Current replacement costs, million euro",A,"Agriculture, forestry and fishing",N11N,Total fixed assets (net),DE,Germany,2000,,125695.0,,,,,
dataflow,ESTAT:NAMA_10_NFA_ST(1.0),Capital stocks by industry (NACE Rev.2) and detailed asset type,A,Annual,CRC_MEUR,"Current replacement costs, million euro",A,"Agriculture, forestry and fishing",N11N,Total fixed assets (net),DE,Germany,2001,,124405.0,,,,,
dataflow,ESTAT:NAMA_10_NFA_ST(1.0),Capital stocks by industry (NACE Rev.2) and detailed asset type,A,Annual,CRC_MEUR,"Current replacement costs, million euro",A,"Agriculture, forestry and fishing",N11N,Total fixed assets (net),DE,Germany,2002,,124345.0,,,,,
dataflow,ESTAT:NAMA_10_NFA_ST(1.0),Capital stocks by industry (NACE Rev.2) and detailed asset type,A,Annual,CRC_MEUR,"Current replacement costs, million euro",A,"Agriculture, forestry and fishing",N11N,Total fixed assets (net),DE,Germany,2003,,123332.0,,,,,
dataflow,ESTAT:NAMA_10_NFA_ST(1.0),Capital stocks by industry (NACE Rev.2) and detailed asset type,A,Annual,CRC_MEUR,"Current replacement costs, million euro",A,"Agriculture, forestry and fishing",N11N,Total fixed assets (net),DE,Germany,2004,,123345.0,,,,,
