country,sector,year,gva,hours,capital
AT,C,2009,48152.9,1014794,83475.4
AT,C,2010,50031.6,1018154,85567.4
AT,C,2011,52834.2,1034089,88963.6
AT,C,2012,54632.2,1041534,92790.2
AT,C,2013,54944.3,1037191,97296.4
AT,C,2014,56735.9,1038599,100200.6
AT,C,2015,58985.2,1037511,102886.0
AT,C,2016,62839.8,1041908,106593.8
AT,C,2017,64066.2,1050800,111075.4
AT,C,2018,66380.5,1071936,116554.7
AT,C,2019,67674.9,1083034,122239.9
AT,C,2020,63122.6,1023216,126399.0
AT,C,2021,68975.9,1073982,135956.6
AT,C,2022,74829.2,1090035,147010.8
AT,C,2023,76173.9,1100168,154854.8
DE,C,2000,431981.0,11748269,618731.0
DE,C,2001,441002.0,11686508,632027.0
DE,C,2002,433029.0,11410955,633282.0
DE,C,2003,438145.0,11135950,632604.0
DE,C,2004,453784.0,11104276,632700.0
DE,C,2005,459778.0,10812800,629768.0
DE,C,2006,493457.0,10800344,633597.0
DE,C,2007,521915.0,10972682,652987.0
DE,C,2008,511603.0,11204562,675676.0
DE,C,2009,432427.0,10237355,672579.0
DE,C,2010,508085.0,10431764,676383.0
DE,C,2011,552758.0,10795965,689276.0
DE,C,2012,561180.0,10775697,708260.0
DE,C,2013,566418.0,10828024,719467.0
DE,C,2014,600184.0,11004039,736328.0
DE,C,2015,621665.0,11100112,755435.0
DE,C,2016,652239.0,11083494,774897.0
DE,C,2017,669711.0,11101223,804536.0
DE,C,2018,680125.0,11229531,841579.0
DE,C,2019,683030.0,11186824,874926.0
DE,C,2020,639332.0,10472567,889609.0
DE,C,2021,683907.0,10645407,922019.0
DE,C,2022,730927.0,10561956,991296.0
DE,C,2023,799148.0,10508156,1038456.0
ES,C,2000,105341.0,5154290,173436.0
ES,C,2001,110960.0,5147259,185734.0
ES,C,2002,113885.0,5085245,197630.0
ES,C,2003,117206.0,5062951,210457.0
ES,C,2004,120560.0,5013436,224544.0
ES,C,2005,125316.0,4936264,238153.0
ES,C,2006,131369.0,4814690,251525.0
ES,C,2007,135843.0,4682289,262203.0
ES,C,2008,137888.0,4641577,266692.0
ES,C,2009,121547.0,4031857,262435.0
ES,C,2010,119716.0,3890896,262250.0
