country,sector,year,gva,hours,capital,tfp,tfp_growth,exports,export_share
AT,K,2015,13499.8,206600,23371.0,0.13413018217837133,0.04835639945078207,148.18523000000002,1.097684632364924
AT,K,2016,13242.6,212080,23563.6,0.12893734121113382,-0.03871493263411718,173.27453,1.3084630661652545
AT,K,2017,13764.6,199925,24086.3,0.13841989167310875,0.07354386536051916,159.22036,1.1567380090957964
AT,K,2019,14836.8,203981,26467.9,0.14269793954331558,0.00229585038026614,100.919,0.6801938423379705
AT,K,2020,14659.1,198249,28101.5,0.1408948756678744,-0.012635528454101208,136.35664000000003,0.9301842541493
AT,L,2014,27715.8,113452,603593.1,0.14072059608668397,0.045449118944127065,264.00553,0.9525452269102823
AT,L,2015,28934.9,113070,623528.3,0.14567220600482134,0.03518752802245939,146.89466000000002,0.5076729485845812
AT,L,2016,30097.2,111291,644749.9,0.15146027488795202,0.03973351569165584,99.411,0.33029982855548023
AT,L,2017,31749.8,110888,669862.3,0.15815871146736282,0.04422569934173293,168.64389000000003,0.5311652041902627
AT,L,2019,34265.4,120782,731485.5,0.15657644652741062,0.012741375197997451,122.33292,0.3570158819100317
AT,L,2020,35353.5,113191,777932.2,0.16533609186041495,0.055944846924794955,113.2974,0.3204701090415376
AT,TOTAL,2014,293480.3,6916021,1185301.1,0.07594719951493903,0.016497802385358584,129682.01315,44.18763819922496
AT,TOTAL,2015,303845.6,6863767,1217227.9,0.07833995695619582,0.031505538802469424,133525.1323,43.945060353021404
AT,TOTAL,2016,315923.9,7011041,1254859.9,0.07950085014090354,0.014818659976502557,134136.78178,42.45857365650398
AT,TOTAL,2017,326371.6,7080960,1299363.5,0.08065281076900957,0.014489915844476453,145026.58839,44.436031931087136
AT,TOTAL,2018,341351.6,7225844,1354340.3,0.08208738461873355,0.01778702857402714,147103.16687000002,43.09432469922509
AT,TOTAL,2019,352742.6,7344462,1412069.3,0.0827584286378731,0.008174752092009019,150498.3522,42.66520465631313
AT,TOTAL,2020,340529.9,6696917,1482375.2,0.08363785195413688,0.010626389731393848,140145.44607,41.155107398792296
AT,TOTAL,2021,362536.8,7028656,1618318.7,0.08374454484456813,0.0012756531634714463,161841.78096,44.641476661127925
AT,TOTAL,2022,402767.1,7209012,1760431.9,0.08896575952333617,0.062346922876692856,188902.32149,46.901130079889846
AT,TOTAL,2023,429634.3,7254303,1843921.9,0.09306894705617014,0.04612097457289366,194831.02176,45.34810692721694
DE,A,2013,26576.0,1169964,149783.0,0.044762198400725754,0.05345983239155272,1520.46812,5.721207555689343
DE,A,2014,27326.0,1144881,152149.0,0.0464577130338307,0.037878269917088314,1474.11219,5.39454069384469
DE,A,2015,21872.0,1127356,153216.0,0.03748497397163618,-0.19313776930131143,1412.27523,6.457000868690563
DE,A,2016,23342.0,1103561,154092.0,0.040503922541027,0.08053756611049456,1505.35678,6.449133664638848
DE,A,2017,28665.0,1060775,155897.0,0.05088009237943581,0.2561769129372258,1569.26133,5.474485714285715
DE,A,2018,25496.0,1047303,160097.0,0.04524568041328276,-0.11073902783302159,1658.86205,6.506361978349545
DE,A,2019,29470.0,1016062,163345.0,0.05301742939016093,0.17176775563743374,1725.12906,5.8538481845945025
DE,A,2020,25144.0,971364,164980.0,0.04646608650689815,-0.12356960642227188,1771.84202,7.046778635062043
DE,A,2021,27761.0,980111,173291.0,0.050174678344626855,0.07981287249525826,1939.70614,6.987162350059436
DE,A,2022,39680.0,969462,194644.0,0.06952588036847371,0.3856766532897793,2272.7372400000004,5.7276644153225815
DE,A,2023,39204.0,951254,205988.0,0.06828163226217113,-0.017896186279243165,2442.42856,6.230049382716049
DE,C,2013,566418.0,10828024,719467.0,0.1279898369140658,0.0008645233689270615,749990.54862,132.40937763630393
DE,C,2014,600184.0,11004039,736328.0,0.13314073755576436,0.0402446066491744,775199.7035,129.16034141196698
